min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
2,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model001
2,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model001
14,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model002
14,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model002
27,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model003
27,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model003
40,1,1e-10,1e-10,rmse,standard,195558.09555581294,10,1819.9545272308135,Model004
40,1,1e-10,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model004
2,5,1e-10,1e-10,rmse,standard,195558.0954884162,10,1819.9545242854656,Model005
2,5,1e-10,1e-10,rsq,standard,0.7062863872726205,10,0.018836244500198496,Model005
14,5,1e-10,1e-10,rmse,standard,195558.09548782377,10,1819.9545249624025,Model006
14,5,1e-10,1e-10,rsq,standard,0.7158363681854389,10,0.013402869074502935,Model006
27,5,1e-10,1e-10,rmse,standard,195558.09548826749,10,1819.9545257015495,Model007
27,5,1e-10,1e-10,rsq,standard,0.7087487038898346,10,0.01067164549992823,Model007
40,5,1e-10,1e-10,rmse,standard,195558.09549068665,10,1819.9545253867796,Model008
40,5,1e-10,1e-10,rsq,standard,0.7148860367245419,10,0.012042506033990253,Model008
2,10,1e-10,1e-10,rmse,standard,195558.0954908366,10,1819.9545233852875,Model009
2,10,1e-10,1e-10,rsq,standard,0.7070626288231073,10,0.018327161462240203,Model009
14,10,1e-10,1e-10,rmse,standard,195558.09548824423,10,1819.9545250569447,Model010
14,10,1e-10,1e-10,rsq,standard,0.718610531720886,10,0.013388821363475542,Model010
27,10,1e-10,1e-10,rmse,standard,195558.09548764443,10,1819.9545255755281,Model011
27,10,1e-10,1e-10,rsq,standard,0.711824538486385,10,0.010661781528768613,Model011
40,10,1e-10,1e-10,rmse,standard,195558.09549005257,10,1819.9545248561142,Model012
40,10,1e-10,1e-10,rsq,standard,0.7167220417539837,10,0.012049344085329794,Model012
2,15,1e-10,1e-10,rmse,standard,195558.0954908366,10,1819.9545233852875,Model013
2,15,1e-10,1e-10,rsq,standard,0.7070626288231073,10,0.018327161462240203,Model013
14,15,1e-10,1e-10,rmse,standard,195558.09548824423,10,1819.9545250569447,Model014
14,15,1e-10,1e-10,rsq,standard,0.718610531720886,10,0.013388821363475542,Model014
27,15,1e-10,1e-10,rmse,standard,195558.09548764443,10,1819.9545255755281,Model015
27,15,1e-10,1e-10,rsq,standard,0.711824538486385,10,0.010661781528768613,Model015
40,15,1e-10,1e-10,rmse,standard,195558.09549005257,10,1819.9545248561142,Model016
40,15,1e-10,1e-10,rsq,standard,0.7167220417539837,10,0.012049344085329794,Model016
2,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model017
2,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model017
14,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model018
14,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model018
27,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model019
27,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model019
40,1,1e-7,1e-10,rmse,standard,195556.31055289402,10,1819.9435450258013,Model020
40,1,1e-7,1e-10,rsq,standard,0.4790021847068588,10,0.020965168833786192,Model020
2,5,1e-7,1e-10,rmse,standard,195556.24316029894,10,1819.9405979771323,Model021
2,5,1e-7,1e-10,rsq,standard,0.7062865153705623,10,0.01883644092393144,Model021
14,5,1e-7,1e-10,rmse,standard,195556.2425669659,10,1819.9412752463913,Model022
14,5,1e-7,1e-10,rsq,standard,0.7158367544064641,10,0.013402714223107461,Model022
27,5,1e-7,1e-10,rmse,standard,195556.24301247485,10,1819.942014233855,Model023
27,5,1e-7,1e-10,rsq,standard,0.7087492930002957,10,0.010671398107363375,Model023
40,5,1e-7,1e-10,rmse,standard,195556.24543166606,10,1819.9416998232168,Model024
40,5,1e-7,1e-10,rsq,standard,0.7148859769475708,10,0.012042455269524925,Model024
2,10,1e-7,1e-10,rmse,standard,195556.24558018232,10,1819.939697907648,Model025
2,10,1e-7,1e-10,rsq,standard,0.7070629516419558,10,0.01832738722979291,Model025
14,10,1e-7,1e-10,rmse,standard,195556.24298680873,10,1819.9413695633036,Model026
14,10,1e-7,1e-10,rsq,standard,0.7186108086218959,10,0.013388601988570835,Model026
27,10,1e-7,1e-10,rmse,standard,195556.24238848843,10,1819.9418879363857,Model027
27,10,1e-7,1e-10,rsq,standard,0.7118249990536658,10,0.010661481519233304,Model027
40,10,1e-7,1e-10,rmse,standard,195556.2447974292,10,1819.9411688089165,Model028
40,10,1e-7,1e-10,rsq,standard,0.7167220023505648,10,0.01204933891088613,Model028
2,15,1e-7,1e-10,rmse,standard,195556.24558018232,10,1819.939697907648,Model029
2,15,1e-7,1e-10,rsq,standard,0.7070629516419558,10,0.01832738722979291,Model029
14,15,1e-7,1e-10,rmse,standard,195556.24298680873,10,1819.9413695633036,Model030
14,15,1e-7,1e-10,rsq,standard,0.7186108086218959,10,0.013388601988570835,Model030
27,15,1e-7,1e-10,rmse,standard,195556.24238848843,10,1819.9418879363857,Model031
27,15,1e-7,1e-10,rsq,standard,0.7118249990536658,10,0.010661481519233304,Model031
40,15,1e-7,1e-10,rmse,standard,195556.2447974292,10,1819.9411688089165,Model032
40,15,1e-7,1e-10,rsq,standard,0.7167220023505648,10,0.01204933891088613,Model032
2,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model033
2,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model033
14,1,1e-4,1e-10,rmse,standard,193780.82821291036,10,1809.1158314613356,Model034
14,1,1e-4,1e-10,rsq,standard,0.47900218470685874,10,0.020965168833786185,Model034
